Element Index,Addition Cost,Copy Cost,Total Cost,Amortized Cost
565,1,0,1588,2.8106194690
566,1,0,1589,2.8074204947
567,1,0,1590,2.8042328042
568,1,0,1591,2.8010563380
569,1,0,1592,2.7978910369
570,1,0,1593,2.7947368421
571,1,0,1594,2.7915936953
572,1,0,1595,2.7884615385
573,1,0,1596,2.7853403141
574,1,0,1597,2.7822299652
575,1,0,1598,2.7791304348
576,1,0,1599,2.7760416667
577,1,0,1600,2.7729636049
578,1,0,1601,2.7698961938
579,1,0,1602,2.7668393782
580,1,0,1603,2.7637931034
581,1,0,1604,2.7607573150
582,1,0,1605,2.7577319588
583,1,0,1606,2.7547169811
584,1,0,1607,2.7517123288
585,1,0,1608,2.7487179487
586,1,0,1609,2.7457337884
587,1,0,1610,2.7427597956
588,1,0,1611,2.7397959184
589,1,0,1612,2.7368421053
590,1,0,1613,2.7338983051
591,1,0,1614,2.7309644670
592,1,0,1615,2.7280405405
593,1,0,1616,2.7251264755
594,1,0,1617,2.7222222222
595,1,0,1618,2.7193277311
596,1,0,1619,2.7164429530
597,1,0,1620,2.7135678392
598,1,0,1621,2.7107023411
599,1,0,1622,2.7078464107
600,1,0,1623,2.7050000000
601,1,0,1624,2.7021630616
602,1,0,1625,2.6993355482
603,1,0,1626,2.6965174129
604,1,0,1627,2.6937086093
605,1,0,1628,2.6909090909
606,1,0,1629,2.6881188119
607,1,0,1630,2.6853377265
608,1,0,1631,2.6825657895
609,1,0,1632,2.6798029557
610,1,0,1633,2.6770491803
611,1,0,1634,2.6743044190
612,1,0,1635,2.6715686275
613,1,0,1636,2.6688417618
614,1,0,1637,2.6661237785
615,1,0,1638,2.6634146341
616,1,0,1639,2.6607142857
617,1,0,1640,2.6580226904
618,1,0,1641,2.6553398058
619,1,0,1642,2.6526655897
620,1,0,1643,2.6500000000
621,1,0,1644,2.6473429952
622,1,0,1645,2.6446945338
623,1,0,1646,2.6420545746
624,1,0,1647,2.6394230769
625,1,0,1648,2.6368000000
626,1,0,1649,2.6341853035
627,1,0,1650,2.6315789474
628,1,0,1651,2.6289808917
629,1,0,1652,2.6263910970
630,1,0,1653,2.6238095238
631,1,0,1654,2.6212361331
632,1,0,1655,2.6186708861
633,1,0,1656,2.6161137441
634,1,0,1657,2.6135646688
635,1,0,1658,2.6110236220
636,1,0,1659,2.6084905660
637,1,0,1660,2.6059654631
638,1,0,1661,2.6034482759
639,1,0,1662,2.6009389671
640,1,0,1663,2.5984375000
641,1,0,1664,2.5959438378
642,1,0,1665,2.5934579439
643,1,0,1666,2.5909797823
644,1,0,1667,2.5885093168
645,1,0,1668,2.5860465116
646,1,0,1669,2.5835913313
647,1,0,1670,2.5811437403
